Date,Open,High,Low,Close,Volume,Price to Earnings Ratio,Price to Sales Ratio
2017-02-16,277.600,280.000,268.500,268.950,7077322,N/A,6.7574,
2017-02-15,280.000,282.240,276.440,279.760,4947856,N/A,7.0290,
2017-02-14,279.030,287.390,278.610,280.980,7345224,N/A,7.0597,
2017-02-13,270.740,280.790,270.510,280.600,7029605,N/A,7.0501,
2017-02-10,269.790,270.950,266.110,269.230,3619739,N/A,6.7645,
2017-02-09,266.250,271.180,266.150,269.200,7820222,N/A,6.7637,
2017-02-08,257.350,263.360,256.200,262.080,3933014,N/A,6.5848,
2017-02-07,258.190,260.000,256.420,257.480,4244775,N/A,6.4693,
2017-02-06,251.000,257.820,250.630,257.770,3562517,N/A,6.4765,
2017-02-03,251.910,252.179,249.680,251.330,2186723,N/A,6.3147,
2017-02-02,248.340,252.420,247.710,251.550,2499775,N/A,6.3203,
2017-02-01,253.050,253.200,249.050,249.240,3958829,N/A,6.2622,
2017-01-31,249.240,255.890,247.700,251.930,4116104,N/A,6.3298,
2017-01-30,252.530,255.290,247.100,250.630,3801074,N/A,6.2971,
2017-01-27,251.380,253.000,248.520,252.950,3166336,N/A,6.3554,
2017-01-26,254.290,255.740,250.750,252.510,3152123,N/A,6.3444,
2017-01-25,257.310,258.460,251.800,254.470,5146361,N/A,6.3936,
2017-01-24,250.000,254.800,249.650,254.610,4965451,N/A,6.3971,
2017-01-23,245.850,250.890,245.500,248.920,6262938,N/A,6.2542,
2017-01-20,245.460,246.000,243.010,244.730,4204275,N/A,6.1489,
2017-01-19,247.250,248.680,240.750,243.760,7732303,N/A,6.1245,
2017-01-18,236.650,239.710,235.580,238.360,3768967,N/A,5.9889,
2017-01-17,236.700,239.960,234.370,235.580,4617522,N/A,5.9190,
2017-01-16,0.000,0.000,0.000,237.750,0,N/A,N/A
2017-01-13,230.000,237.850,229.590,237.750,6092960,N/A,5.9735,
2017-01-12,229.060,230.700,225.580,229.590,3790229,N/A,5.7685,
2017-01-11,229.070,229.980,226.680,229.730,3650825,N/A,5.7720,
2017-01-10,232.000,232.000,226.890,229.870,3659955,N/A,5.7755,
2017-01-09,228.970,231.920,228.000,231.280,3979484,N/A,5.8110,
2017-01-06,226.930,230.310,225.450,229.010,5527893,N/A,5.7539,
2017-01-05,226.420,227.480,221.950,226.750,5911695,N/A,5.6972,
2017-01-04,214.750,228.000,214.310,226.990,11213471,N/A,5.7032,
2017-01-03,214.860,220.330,210.960,216.990,5923254,N/A,5.4519,
2017-01-02,0.000,0.000,0.000,213.690,0,N/A,N/A
2016-12-30,216.300,217.500,211.680,213.690,4642620,N/A,5.3690,
2016-12-29,218.560,219.200,214.122,214.680,4044968,N/A,5.3939,
2016-12-28,221.530,223.800,217.200,219.740,3782456,N/A,5.5210,
2016-12-27,214.880,222.250,214.420,219.530,5915732,N/A,5.5157,
2016-12-26,0.000,0.000,0.000,213.340,0,N/A,N/A
2016-12-23,208.000,213.450,207.710,213.340,4670464,N/A,5.3602,
2016-12-22,208.220,209.990,206.500,208.450,3111108,N/A,5.2374,
2016-12-21,208.450,212.230,207.410,207.700,5207622,N/A,5.2185,
2016-12-20,203.050,209.000,202.500,208.790,4689071,N/A,5.2459,
2016-12-19,202.490,204.450,199.840,202.730,3488071,N/A,5.0936,
2016-12-16,198.080,202.590,197.600,202.490,3796889,N/A,5.0876,
2016-12-15,198.410,200.740,197.390,197.580,3219567,N/A,4.9642,
2016-12-14,198.740,203.000,196.760,198.690,4150927,N/A,4.9921,
2016-12-13,193.180,201.280,193.000,198.150,6823884,N/A,4.9786,
2016-12-12,192.800,194.420,191.040,192.430,2438876,N/A,4.8349,
2016-12-09,190.870,193.836,190.810,192.180,2722505,N/A,4.8286,
2016-12-08,192.050,192.500,189.540,192.290,3194148,N/A,4.8313,
2016-12-07,186.150,193.400,185.000,193.150,5461851,N/A,4.8529,
2016-12-06,185.520,186.580,182.682,185.850,3391622,N/A,4.6695,
2016-12-05,182.510,188.890,182.510,186.800,4072239,N/A,4.6934,
2016-12-02,182.880,184.880,180.000,181.470,4042324,N/A,4.5595,
2016-12-01,188.250,188.530,181.000,181.880,5126401,N/A,4.5698,
2016-11-30,191.000,191.890,187.500,189.400,3547104,N/A,4.7587,
2016-11-29,195.560,196.730,189.500,189.570,4439256,N/A,4.7630,
2016-11-28,195.480,199.350,194.550,196.120,4529182,N/A,4.9276,
2016-11-25,193.640,197.237,193.640,196.650,2366098,N/A,4.9409,
2016-11-24,0.000,0.000,0.000,193.140,0,N/A,N/A
2016-11-23,190.610,195.644,189.000,193.140,4891893,N/A,4.8527,
2016-11-22,185.840,191.470,183.710,191.170,5603361,N/A,4.8032,
2016-11-21,185.040,188.890,184.410,184.520,4361043,N/A,4.6361,
2016-11-18,190.650,193.000,185.000,185.020,5210347,N/A,4.6487,
2016-11-17,183.490,189.490,182.110,188.660,4887067,N/A,4.7401,
2016-11-16,182.650,184.730,181.210,183.930,3434437,N/A,4.6213,
2016-11-15,182.780,186.430,182.050,183.770,3902018,N/A,4.6173,
2016-11-14,188.000,188.250,178.190,181.450,6552205,N/A,4.5590,
2016-11-11,184.240,188.880,183.000,188.560,3988504,N/A,4.7376,
2016-11-10,191.050,191.610,180.420,185.350,6750341,N/A,4.6570,
2016-11-09,186.875,192.000,183.950,190.060,8173065,N/A,4.7753,
2016-11-08,193.790,197.490,191.260,194.940,3267580,N/A,4.8979,
2016-11-07,193.590,194.290,190.050,193.210,3870112,N/A,4.8545,
2016-11-04,189.000,193.460,185.960,190.560,5146043,N/A,4.7879,
