08-12-2016,192.05,192.5,189.54,192.29,3194148,N/A,4.8313
07-12-2016,186.15,193.4,185,193.15,5461851,N/A,4.8529
06-12-2016,185.52,186.58,182.682,185.85,3391622,N/A,4.6695
05-12-2016,182.51,188.89,182.51,186.8,4072239,N/A,4.6934
02-12-2016,182.88,184.88,180,181.47,4042324,N/A,4.5595
01-12-2016,188.25,188.53,181,181.88,5126401,N/A,4.5698
30-11-2016,191,191.89,187.5,189.4,3547104,N/A,4.7587
29-11-2016,195.56,196.73,189.5,189.57,4439256,N/A,4.763
28-11-2016,195.48,199.35,194.55,196.12,4529182,N/A,4.9276
25-11-2016,193.64,197.237,193.64,196.65,2366098,N/A,4.9409
24-11-2016,0,0,0,193.14,0,N/A,N/A
23-11-2016,190.61,195.644,189,193.14,4891893,N/A,4.8527
22-11-2016,185.84,191.47,183.71,191.17,5603361,N/A,4.8032
21-11-2016,185.04,188.89,184.41,184.52,4361043,N/A,4.6361
18-11-2016,190.65,193,185,185.02,5210347,N/A,4.6487
17-11-2016,183.49,189.49,182.11,188.66,4887067,N/A,4.7401
16-11-2016,182.65,184.73,181.21,183.93,3434437,N/A,4.6213
15-11-2016,182.78,186.43,182.05,183.77,3902018,N/A,4.6173
14-11-2016,188,188.25,178.19,181.45,6552205,N/A,4.559
11-11-2016,184.24,188.88,183,188.56,3988504,N/A,4.7376
10-11-2016,191.05,191.61,180.42,185.35,6750341,N/A,4.657
09-11-2016,186.875,192,183.95,190.06,8173065,N/A,4.7753
08-11-2016,193.79,197.49,191.26,194.94,3267580,N/A,4.8979
07-11-2016,193.59,194.29,190.05,193.21,3870112,N/A,4.8545
04-11-2016,189,193.46,185.96,190.56,5146043,N/A,4.7879
03-11-2016,189,191.47,187.04,187.42,2653023,N/A,4.709
02-11-2016,190.05,192.695,187.505,188.02,4253382,N/A,4.7241
01-11-2016,198.04,198.5,188.105,190.79,7060036,N/A,4.7936
31-10-2016,202.49,202.49,195.81,197.73,4692273,N/A,4.968
28-10-2016,204,205.32,199.83,199.97,4280141,N/A,5.0243
27-10-2016,211.34,213.7,201.65,204.01,13093744,N/A,5.1258
26-10-2016,201,203.19,200.1,202.24,5632841,N/A,6.197
25-10-2016,202.9,204.69,201.2,202.34,2445014,N/A,6.2001
24-10-2016,201,203.945,200.25,202.76,2751562,N/A,6.213
21-10-2016,198.6,201.57,197.41,200.09,2943402,N/A,6.1312
20-10-2016,202.12,203,197.05,199.1,5072877,N/A,6.1008
19-10-2016,199.74,206.66,198.06,203.56,6991183,N/A,6.2375
18-10-2016,195.99,199.47,193.26,199.1,5680475,N/A,6.1008
17-10-2016,197.05,198.39,192,193.96,4554080,N/A,5.9433
14-10-2016,200.66,201.43,196.3,196.51,4269850,N/A,6.0215
13-10-2016,200.5,200.895,197.05,200.24,2495413,N/A,6.1358
12-10-2016,200.95,203.88,200.42,201.51,1970689,N/A,6.1747
11-10-2016,201.85,202.2,198.31,200.1,2328422,N/A,6.1315
10-10-2016,201.35,204.14,199.66,200.95,3316297,N/A,6.1575
07-10-2016,201,201.32,195.8,196.61,3493018,N/A,6.0245
06-10-2016,202.46,204.21,200.21,201,4703402,N/A,6.159
05-10-2016,212.24,213.15,208.12,208.46,1877534,N/A,6.3876
04-10-2016,213.1,213.32,208.82,211.41,3541481,N/A,6.478
03-10-2016,212.3,215.669,208.25,213.7,5999892,N/A,6.5482
30-09-2016,202.21,204.98,199.55,204.03,2586273,N/A,6.2519
29-09-2016,205.6,207.33,200.58,200.7,2727029,N/A,6.1498
28-09-2016,207.51,208.25,205.26,206.27,2088374,N/A,6.3205
27-09-2016,209.65,209.982,204.609,205.81,3373180,N/A,6.3064
26-09-2016,206.5,211,206.5,208.99,2394358,N/A,6.4039
23-09-2016,205.99,210.18,205.67,207.45,2905229,N/A,6.3567
22-09-2016,206.4,207.28,203,206.43,2382902,N/A,6.3254
21-09-2016,206.37,207,201.56,205.22,2633503,N/A,6.2884
20-09-2016,206.85,207.75,203.91,204.64,2410488,N/A,6.2706
19-09-2016,207,209.43,205,206.34,2299498,N/A,6.3227
16-09-2016,200.42,205.7,199,205.4,3107808,N/A,6.2939
15-09-2016,196.49,202.519,196.4,200.42,3085115,N/A,6.1413
14-09-2016,195.75,197.925,194.856,196.41,2259231,N/A,6.0184
13-09-2016,197.06,198.49,193.45,196.05,3589379,N/A,6.0074
12-09-2016,195,201.369,194.1,198.3,3715161,N/A,6.0763
09-09-2016,199.09,199.92,193.7,194.47,3756992,N/A,5.9589
08-09-2016,199.55,199.89,196.36,197.36,3377946,N/A,6.0475
07-09-2016,205.5,206.497,200.71,201.71,3640923,N/A,6.1808
06-09-2016,199.02,203.25,199,202.83,4390572,N/A,6.2151
05-09-2016,0,0,0,197.78,0,N/A,N/A
02-09-2016,202.33,203.2,196.2,197.78,5977413,N/A,6.0604
01-09-2016,209.01,211.1,200.5,200.77,7943138,N/A,6.152
31-08-2016,210.43,212.6,208.65,212.01,3276548,N/A,6.4964
30-08-2016,216.11,216.11,210.52,211.34,3168862,N/A,6.4759
29-08-2016,220.15,220.4,215,215.2,3266334,N/A,6.5942
26-08-2016,222.14,222.855,218.82,219.99,2238992,N/A,6.7409
25-08-2016,223.11,223.8,220.77,220.96,1762519,N/A,6.7707
24-08-2016,227.05,227.15,222.22,222.62,2570693,N/A,6.8215
23-08-2016,224.32,228.49,222.8,224.84,4784418,N/A,6.8895
